Order,Chart,Row,Artist,Album,Date Finished,Primary Genre,Specific Genre,Average Rating,Ratings by Listen,,,,,,,,,,,,,,,
124,1,11,Jamiroquai,Sykronized,1/1/2017,Disco,Nu-Disco,N/A,,,,,,,,,,,,,,,,
125,1,11,Jamiroquai,Emergency on Planet Earth,1/1/2017,Disco,Nu-Disco,N/A,,,,,,,,,,,,,,,,
126,1,11,Justice,??,1/1/2017,Electronic,,N/A,,,,,,,,,,,,,,,,
127,1,11,Todd Terje,It's Album Time,1/1/2017,Disco,Nu-Disco,N/A,,,,,,,,,,,,,,,,
128,1,11,Hans-Peter Lindstr�m,Runddans,1/1/2017,Disco,Nu-Disco,N/A,,,,,,,,,,,,,,,,
129,1,11,Spacehog,Resident Alien,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
130,1,11,Band of Skulls,Sweet Sour,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
131,1,11,Benji Hughs,A Love Extreme,1/1/2017,Indie,,N/A,,,,,,,,,,,,,,,,
132,1,11,Bibio,A Mineral Love,1/1/2017,Electronic,,N/A,,,,,,,,,,,,,,,,
133,1,12,Bibio,fi,1/1/2017,Electronic,,N/A,,,,,,,,,,,,,,,,
134,1,12,Bibio,Silver Wilkinson,1/1/2017,Electronic,,N/A,,,,,,,,,,,,,,,,
135,1,12,The Blue Van,Dear Independence,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
136,1,12,Carolina Liar,Wild Blessed Freedom,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
137,1,12,Carolina Liar,Coming to Terms,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
138,1,12,Airborne Toxic Event,Songs of God and Whiskey,1/1/2017,Rock,Indie Rock,N/A,,,,,,,,,,,,,,,,
139,1,12,Airborne Toxic Event,Dope Machines,1/1/2017,Rock,Indie Rock,N/A,,,,,,,,,,,,,,,,
140,1,12,Airborne Toxic Event,Such Hot Blood,1/1/2017,Rock,Indie Rock,N/A,,,,,,,,,,,,,,,,
141,1,12,Airborne Toxic Event,All At Once,1/1/2017,Rock,Indie Rock,N/A,,,,,,,,,,,,,,,,
142,1,12,The Antlers,Burst Apart,1/1/2017,Rock,Indie Rock,N/A,,,,,,,,,,,,,,,,
143,1,12,Andy Warhol and the Velvet Underground,,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
144,1,12,Sonic Youth,Daydream,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
145,2,1,Frank Ocean,"Nostalgia, Ultra",1/1/2017,R&B,,N/A,,,,,,,,,,,,,,,,
146,2,1,Carly Rae Jepson,Emotion - B Sides,1/1/2017,Pop,,N/A,,,,,,,,,,,,,,,,
147,2,1,The Shins,Heartworms,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
148,2,1,Arcade Fire,Reflektor,1/1/2017,Rock,Indie Rock,N/A,,,,,,,,,,,,,,,,
149,2,1,Kanye West,The Life of Pablo,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
150,2,1,Kanye West,Yeezus,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
151,2,1,Kid Cudi,"Passion, Pain, and Demon Slayin'",1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
152,2,1,NxWorries,Yes Lawd!,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
